Vocab size: 65,536
num_layers: 20
model_dim: 1280
num_heads: 10
num_kv_heads: 10
Tokens / micro-batch / rank: 16 x 2048 = 32,768
Tokens / micro-batch: 32,768
Total batch size 524,288 => gradient accumulation steps: 16
Resuming optimization from step 1000
Using torch.compile() for optimized training
Number of parameters: 560,988,160
Estimated FLOPs per token: 3.491758e+09
Calculated number of iterations from target data:param ratio: 21,400
Total number of training tokens: 11,219,763,200
Tokens : Params ratio: 20.00
Total training FLOPs estimate: 3.917670e+19
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Step 01000 | Validation bpb: 1.0003
step 01000/21400 (4.67%) | loss: 3.439872 | grad norm: 0.1700 | lrm: 1.00 | dt: 68191.57ms | tok/sec: 7,688 | mfu: 2.71 | total time: 66.88m
step 01073/21400 (5.01%) | loss: 3.344615 | grad norm: 0.1599 | lrm: 1.00 | dt: 2381.59ms | tok/sec: 220,141 | mfu: 77.72 | total time: 69.75m
step 01074/21400 (5.02%) | loss: 3.336596 | grad norm: 0.1761 | lrm: 1.00 | dt: 2364.66ms | tok/sec: 221,718 | mfu: 78.28 | total time: 69.79m
step 01075/21400 (5.02%) | loss: 3.356216 | grad norm: 0.1732 | lrm: 1.00 | dt: 2364.41ms | tok/sec: 221,741 | mfu: 78.29 | total time: 69.83m
step 01076/21400 (5.03%) | loss: 3.359618 | grad norm: 0.1623 | lrm: 1.00 | dt: 2371.76ms | tok/sec: 221,054 | mfu: 78.05 | total time: 69.87m
step 01077/21400 (5.03%) | loss: 3.353450 | grad norm: 0.1575 | lrm: 1.00 | dt: 2362.39ms | tok/sec: 221,931 | mfu: 78.36 | total time: 69.90m
step 01078/21400 (5.04%) | loss: 3.334809 | grad norm: 0.1524 | lrm: 1.00 | dt: 2367.48ms | tok/sec: 221,453 | mfu: 78.19 | total time: 69.94m
step 01079/21400 (5.04%) | loss: 3.321785 | grad norm: 0.1350 | lrm: 1.00 | dt: 2371.59ms | tok/sec: 221,069 | mfu: 78.05 | total time: 69.98m
step 01080/21400 (5.05%) | loss: 3.331620 | grad norm: 0.1435 | lrm: 1.00 | dt: 2375.91ms | tok/sec: 220,667 | mfu: 77.91 | total time: 70.02m
step 01081/21400 (5.05%) | loss: 3.335802 | grad norm: 0.1538 | lrm: 1.00 | dt: 2367.93ms | tok/sec: 221,412 | mfu: 78.17 | total time: 70.06m
step 01082/21400 (5.06%) | loss: 3.347547 | grad norm: 0.1498 | lrm: 1.00 | dt: 2372.43ms | tok/sec: 220,991 | mfu: 78.02 | total time: 70.10m
step 01083/21400 (5.06%) | loss: 3.365978 | grad norm: 0.1362 | lrm: 1.00 | dt: 2375.35ms | tok/sec: 220,720 | mfu: 77.93 | total time: 70.14m
step 01084/21400 (5.07%) | loss: 3.367233 | grad norm: 0.1344 | lrm: 1.00 | dt: 2372.58ms | tok/sec: 220,977 | mfu: 78.02 | total time: 70.18m
step 01085/21400 (5.07%) | loss: 3.355449 | grad norm: 0.1448 | lrm: 1.00 | dt: 2715.83ms | tok/sec: 193,048 | mfu: 68.16 | total time: 70.23m
step 01086/21400 (5.07%) | loss: 3.349936 | grad norm: 0.1493 | lrm: 1.00 | dt: 2360.32ms | tok/sec: 222,125 | mfu: 78.42 | total time: 70.27m
step 01087/21400 (5.08%) | loss: 3.344270 | grad norm: 0.1485 | lrm: 1.00 | dt: 2367.72ms | tok/sec: 221,431 | mfu: 78.18 | total time: 70.31m
step 01088/21400 (5.08%) | loss: 3.335030 | grad norm: 0.1548 | lrm: 1.00 | dt: 2366.55ms | tok/sec: 221,541 | mfu: 78.22 | total time: 70.35m
step 01089/21400 (5.09%) | loss: 3.329050 | grad norm: 0.1661 | lrm: 1.00 | dt: 2371.54ms | tok/sec: 221,075 | mfu: 78.05 | total time: 70.38m
step 01090/21400 (5.09%) | loss: 3.325669 | grad norm: 0.1651 | lrm: 1.00 | dt: 2367.44ms | tok/sec: 221,458 | mfu: 78.19 | total time: 70.42m
step 01091/21400 (5.10%) | loss: 3.371574 | grad norm: 0.1485 | lrm: 1.00 | dt: 2357.59ms | tok/sec: 222,382 | mfu: 78.51 | total time: 70.46m
step 01092/21400 (5.10%) | loss: 3.344511 | grad norm: 0.1542 | lrm: 1.00 | dt: 2373.88ms | tok/sec: 220,856 | mfu: 77.98 | total time: 70.50m
step 01093/21400 (5.11%) | loss: 3.338663 | grad norm: 0.1450 | lrm: 1.00 | dt: 2365.32ms | tok/sec: 221,656 | mfu: 78.26 | total time: 70.54m
step 01094/21400 (5.11%) | loss: 3.335238 | grad norm: 0.1417 | lrm: 1.00 | dt: 2377.30ms | tok/sec: 220,538 | mfu: 77.86 | total time: 70.58m
step 01095/21400 (5.12%) | loss: 3.312262 | grad norm: 0.1560 | lrm: 1.00 | dt: 2394.05ms | tok/sec: 218,995 | mfu: 77.32 | total time: 70.62m
step 01096/21400 (5.12%) | loss: 3.304926 | grad norm: 0.1579 | lrm: 1.00 | dt: 2356.93ms | tok/sec: 222,444 | mfu: 78.54 | total time: 70.66m
step 01097/21400 (5.13%) | loss: 3.292909 | grad norm: 0.1617 | lrm: 1.00 | dt: 2366.90ms | tok/sec: 221,507 | mfu: 78.21 | total time: 70.70m
step 01098/21400 (5.13%) | loss: 3.297744 | grad norm: 0.1459 | lrm: 1.00 | dt: 2399.95ms | tok/sec: 218,457 | mfu: 77.13 | total time: 70.74m
step 01099/21400 (5.14%) | loss: 3.320732 | grad norm: 0.1444 | lrm: 1.00 | dt: 2368.70ms | tok/sec: 221,340 | mfu: 78.15 | total time: 70.78m
step 01100/21400 (5.14%) | loss: 3.308357 | grad norm: 0.1465 | lrm: 1.00 | dt: 2370.46ms | tok/sec: 221,175 | mfu: 78.09 | total time: 70.82m
step 01101/21400 (5.14%) | loss: 3.310845 | grad norm: 0.1429 | lrm: 1.00 | dt: 2366.96ms | tok/sec: 221,502 | mfu: 78.20 | total time: 70.86m
step 01102/21400 (5.15%) | loss: 3.324721 | grad norm: 0.1516 | lrm: 1.00 | dt: 2417.49ms | tok/sec: 216,872 | mfu: 76.57 | total time: 70.90m
step 01103/21400 (5.15%) | loss: 3.341244 | grad norm: 0.1437 | lrm: 1.00 | dt: 2358.48ms | tok/sec: 222,298 | mfu: 78.48 | total time: 70.94m
step 01104/21400 (5.16%) | loss: 3.333070 | grad norm: 0.1446 | lrm: 1.00 | dt: 2366.67ms | tok/sec: 221,529 | mfu: 78.21 | total time: 70.98m
step 01105/21400 (5.16%) | loss: 3.339591 | grad norm: 0.1442 | lrm: 1.00 | dt: 2372.84ms | tok/sec: 220,953 | mfu: 78.01 | total time: 71.02m
step 01106/21400 (5.17%) | loss: 3.321980 | grad norm: 0.1454 | lrm: 1.00 | dt: 2380.42ms | tok/sec: 220,250 | mfu: 77.76 | total time: 71.06m
step 01107/21400 (5.17%) | loss: 3.318794 | grad norm: 0.1425 | lrm: 1.00 | dt: 2368.76ms | tok/sec: 221,333 | mfu: 78.14 | total time: 71.10m
step 01108/21400 (5.18%) | loss: 3.317927 | grad norm: 0.1350 | lrm: 1.00 | dt: 2371.61ms | tok/sec: 221,068 | mfu: 78.05 | total time: 71.14m
step 01109/21400 (5.18%) | loss: 3.315013 | grad norm: 0.1366 | lrm: 1.00 | dt: 2362.34ms | tok/sec: 221,936 | mfu: 78.36 | total time: 71.18m
step 01110/21400 (5.19%) | loss: 3.331542 | grad norm: 0.1554 | lrm: 1.00 | dt: 2369.57ms | tok/sec: 221,258 | mfu: 78.12 | total time: 71.22m
step 01111/21400 (5.19%) | loss: 3.323890 | grad norm: 0.1476 | lrm: 1.00 | dt: 2370.36ms | tok/sec: 221,184 | mfu: 78.09 | total time: 71.25m
step 01112/21400 (5.20%) | loss: 3.321789 | grad norm: 0.1510 | lrm: 1.00 | dt: 2360.46ms | tok/sec: 222,112 | mfu: 78.42 | total time: 71.29m
step 01113/21400 (5.20%) | loss: 3.317271 | grad norm: 0.1572 | lrm: 1.00 | dt: 2362.11ms | tok/sec: 221,957 | mfu: 78.36 | total time: 71.33m
step 01114/21400 (5.21%) | loss: 3.329655 | grad norm: 0.1536 | lrm: 1.00 | dt: 2367.25ms | tok/sec: 221,475 | mfu: 78.19 | total time: 71.37m
step 01115/21400 (5.21%) | loss: 3.336228 | grad norm: 0.1554 | lrm: 1.00 | dt: 2377.65ms | tok/sec: 220,506 | mfu: 77.85 | total time: 71.41m
step 01116/21400 (5.21%) | loss: 3.318723 | grad norm: 0.1525 | lrm: 1.00 | dt: 2379.74ms | tok/sec: 220,312 | mfu: 77.78 | total time: 71.45m
step 01117/21400 (5.22%) | loss: 3.322016 | grad norm: 0.1360 | lrm: 1.00 | dt: 2363.83ms | tok/sec: 221,796 | mfu: 78.31 | total time: 71.49m
step 01118/21400 (5.22%) | loss: 3.322201 | grad norm: 0.1345 | lrm: 1.00 | dt: 2376.74ms | tok/sec: 220,590 | mfu: 77.88 | total time: 71.53m
step 01119/21400 (5.23%) | loss: 3.322720 | grad norm: 0.1397 | lrm: 1.00 | dt: 2375.35ms | tok/sec: 220,720 | mfu: 77.93 | total time: 71.57m
step 01120/21400 (5.23%) | loss: 3.327201 | grad norm: 0.1563 | lrm: 1.00 | dt: 2373.46ms | tok/sec: 220,896 | mfu: 77.99 | total time: 71.61m
step 01121/21400 (5.24%) | loss: 3.314614 | grad norm: 0.1738 | lrm: 1.00 | dt: 2370.14ms | tok/sec: 221,205 | mfu: 78.10 | total time: 71.65m
step 01122/21400 (5.24%) | loss: 3.331948 | grad norm: 0.1870 | lrm: 1.00 | dt: 2357.23ms | tok/sec: 222,417 | mfu: 78.53 | total time: 71.69m
step 01123/21400 (5.25%) | loss: 3.352278 | grad norm: 0.1705 | lrm: 1.00 | dt: 2374.59ms | tok/sec: 220,791 | mfu: 77.95 | total time: 71.73m
step 01124/21400 (5.25%) | loss: 3.368313 | grad norm: 0.1748 | lrm: 1.00 | dt: 2363.15ms | tok/sec: 221,859 | mfu: 78.33 | total time: 71.77m
step 01125/21400 (5.26%) | loss: 3.358106 | grad norm: 0.1609 | lrm: 1.00 | dt: 2370.16ms | tok/sec: 221,204 | mfu: 78.10 | total time: 71.81m
step 01126/21400 (5.26%) | loss: 3.358103 | grad norm: 0.1238 | lrm: 1.00 | dt: 2360.26ms | tok/sec: 222,131 | mfu: 78.43 | total time: 71.85m
step 01127/21400 (5.27%) | loss: 3.353361 | grad norm: 0.1360 | lrm: 1.00 | dt: 2364.13ms | tok/sec: 221,767 | mfu: 78.30 | total time: 71.89m
step 01128/21400 (5.27%) | loss: 3.348060 | grad norm: 0.1574 | lrm: 1.00 | dt: 2370.02ms | tok/sec: 221,216 | mfu: 78.10 | total time: 71.93m
step 01129/21400 (5.28%) | loss: 3.351688 | grad norm: 0.1587 | lrm: 1.00 | dt: 2381.67ms | tok/sec: 220,134 | mfu: 77.72 | total time: 71.97m
step 01130/21400 (5.28%) | loss: 3.323083 | grad norm: 0.1533 | lrm: 1.00 | dt: 2371.45ms | tok/sec: 221,082 | mfu: 78.06 | total time: 72.01m
step 01131/21400 (5.29%) | loss: 3.331531 | grad norm: 0.1575 | lrm: 1.00 | dt: 2364.53ms | tok/sec: 221,730 | mfu: 78.28 | total time: 72.04m
step 01132/21400 (5.29%) | loss: 3.327184 | grad norm: 0.1658 | lrm: 1.00 | dt: 2373.66ms | tok/sec: 220,877 | mfu: 77.98 | total time: 72.08m
step 01133/21400 (5.29%) | loss: 3.328696 | grad norm: 0.1550 | lrm: 1.00 | dt: 2366.86ms | tok/sec: 221,512 | mfu: 78.21 | total time: 72.12m
step 01134/21400 (5.30%) | loss: 3.315381 | grad norm: 0.1475 | lrm: 1.00 | dt: 2365.35ms | tok/sec: 221,653 | mfu: 78.26 | total time: 72.16m
step 01135/21400 (5.30%) | loss: 3.321531 | grad norm: 0.1378 | lrm: 1.00 | dt: 2371.42ms | tok/sec: 221,086 | mfu: 78.06 | total time: 72.20m
step 01136/21400 (5.31%) | loss: 3.309566 | grad norm: 0.1459 | lrm: 1.00 | dt: 2370.42ms | tok/sec: 221,179 | mfu: 78.09 | total time: 72.24m
step 01137/21400 (5.31%) | loss: 3.312893 | grad norm: 0.1603 | lrm: 1.00 | dt: 2374.17ms | tok/sec: 220,830 | mfu: 77.97 | total time: 72.28m
step 01138/21400 (5.32%) | loss: 3.310881 | grad norm: 0.1456 | lrm: 1.00 | dt: 2367.15ms | tok/sec: 221,485 | mfu: 78.20 | total time: 72.32m
step 01139/21400 (5.32%) | loss: 3.324480 | grad norm: 0.1446 | lrm: 1.00 | dt: 2367.38ms | tok/sec: 221,462 | mfu: 78.19 | total time: 72.36m
step 01140/21400 (5.33%) | loss: 3.329281 | grad norm: 0.1456 | lrm: 1.00 | dt: 2370.47ms | tok/sec: 221,174 | mfu: 78.09 | total time: 72.40m
step 01141/21400 (5.33%) | loss: 3.307279 | grad norm: 0.1309 | lrm: 1.00 | dt: 2370.13ms | tok/sec: 221,206 | mfu: 78.10 | total time: 72.44m
step 01142/21400 (5.34%) | loss: 3.309079 | grad norm: 0.1413 | lrm: 1.00 | dt: 2378.25ms | tok/sec: 220,451 | mfu: 77.83 | total time: 72.48m
step 01143/21400 (5.34%) | loss: 3.310403 | grad norm: 0.1645 | lrm: 1.00 | dt: 2372.39ms | tok/sec: 220,996 | mfu: 78.02 | total time: 72.52m
step 01144/21400 (5.35%) | loss: 3.312603 | grad norm: 0.1751 | lrm: 1.00 | dt: 2371.20ms | tok/sec: 221,106 | mfu: 78.06 | total time: 72.56m
step 01145/21400 (5.35%) | loss: 3.319356 | grad norm: 0.1608 | lrm: 1.00 | dt: 2372.45ms | tok/sec: 220,990 | mfu: 78.02 | total time: 72.60m
step 01146/21400 (5.36%) | loss: 3.310775 | grad norm: 0.1496 | lrm: 1.00 | dt: 2361.20ms | tok/sec: 222,042 | mfu: 78.39 | total time: 72.64m
step 01147/21400 (5.36%) | loss: 3.308126 | grad norm: 0.1561 | lrm: 1.00 | dt: 2378.21ms | tok/sec: 220,455 | mfu: 77.83 | total time: 72.68m
step 01148/21400 (5.36%) | loss: 3.319326 | grad norm: 0.1581 | lrm: 1.00 | dt: 2368.46ms | tok/sec: 221,362 | mfu: 78.15 | total time: 72.72m
